Plate_ID,Well,Breeder_ID,Larva_ID,BreederF,BreederM
Plate 1(FC20200305),E1,Z2622-F5,20200211-Plate1-3E,Z2622-F5,Z2622-M11a
Plate 1(FC20200305),E1,Z2622-F5,20200211-Plate1-3F,Z2622-F5,Z2622-M11a
Plate 1(FC20200305),E1,Z2622-F5,20200211-Plate1-3G,Z2622-F5,Z2622-M11a
Plate 1(FC20200305),E1,Z2622-F5,20200211-Plate1-3H,Z2622-F5,Z2622-M11a
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-3C,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-3D,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-3E,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-3F,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-3G,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-3H,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-4A,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-4B,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),E1,Z2622-F5,20200310-Plate1-4C,Z2622-F5,Z2622-M14b
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-8G,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-8H,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-9A,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-9B,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-9C,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-9D,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-9E,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-9F,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191209-Plate1-9G,Z2622-F14,Z2622-M14
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8A,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8B,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8C,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8D,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8E,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8F,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8G,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20191217-Plate1-8H,Z2622-F14,Z2622-M15
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11A,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11B,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11C,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11D,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11E,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11F,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11G,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200114-Plate1-11H,Z2622-F14,Z2622-M16
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-11E,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-11F,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-11G,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-11H,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-12A,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-12B,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-12C,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-12D,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-12E,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200128-Plate1-12F,Z2622-F14,Z2622-M18
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-8E,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-8F,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-8G,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-8H,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9A,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9B,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9C,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9D,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9E,Z2622-F14,Z2622-M21
