"fish_id","mother","father"
"20200204_Plate2_12G","NA","NA"
"20200204_Plate2_12H","NA","NA"
"20200211_Plate1_12G","NA","NA"
"20200211_Plate1_12H","NA","NA"
"20200211_Plate2_12H","NA","NA"
"20200211_Plate2_12G","NA","NA"
"20191217_Plate2_12H","NA","NA"
"20191217_Plate2_12E","NA","NA"
"20191217_Plate2_12F","NA","NA"
"20191217_Plate2_12G","NA","NA"
"20200114_Plate1_12H","NA","NA"
"20200114_Plate1_12G","NA","NA"
"20200121_Plate1_12G","NA","NA"
"20200121_Plate1_12H","NA","NA"
"Casper_2","NA","NA"
"2622_larva_81","NA","NA"
"Casper_1","NA","NA"
"2622_Adult fin clip_5a","NA","NA"
"2622_Adult fin clip_1","NA","NA"
"2622_larva_80","NA","NA"
"2622_larva_84","NA","NA"
"2622_larva_86","NA","NA"
"2622_larva_82c","NA","NA"
"2622_Adult fin clip_5","NA","NA"
"2622_Adult fin clip_3","NA","NA"
"2622_larva_80e","NA","NA"
"2622_Adult fin clip_6","NA","NA"
"2622_larva_3","NA","NA"
"2622_larva_82g","NA","NA"
"2622_larva_80c","NA","NA"
"2622_Adult fin clip_5e","NA","NA"
"2622_Adult fin clip_5d","NA","NA"
"2622_larva_82","NA","NA"
"2622_larva_82a","NA","NA"
"2622_larva_80h","NA","NA"
"2622_Adult fin clip_7","NA","NA"
"2622_Adult fin clip_4","NA","NA"
"2622_larva_80b","NA","NA"
"2622_Adult fin clip_5b","NA","NA"
"2622_Adult fin clip_5g","NA","NA"
"2622_larva_82e","NA","NA"
"2622_larva_85","NA","NA"
"2622_larva_80g","NA","NA"
"2622_larva_82f","NA","NA"
"2622_Adult fin clip_2","NA","NA"
"2622_larva_80f","NA","NA"
"2622_larva_27","NA","NA"
"2622_larva_82b","NA","NA"
"2622_Adult fin clip_5f","NA","NA"
"2622_larva_35","NA","NA"
"2622_larva_80d","NA","NA"
"2622_larva_82d","NA","NA"
"2622_Adult fin clip_8","NA","NA"
"2622_Adult fin clip_5c","NA","NA"
"2622_larva_82h","NA","NA"
"2622_Adult fin clip_5h","NA","NA"
"2622_larva_80a","NA","NA"
"20200218_Plate1_12G","NA","NA"
"20200218_Plate1_12H","NA","NA"
"20200218_Plate2_12G","NA","NA"
"20200218_Plate2_12H","NA","NA"
"20200303_Plate1_12G","NA","NA"
"20200303_Plate1_12H","NA","NA"
"20200303_Plate2_12H","NA","NA"
"20200303_Plate2_12G","NA","NA"
"20200317_Plate1_12G","NA","NA"
"20200317_Plate1_12H","NA","NA"
"20200317_Plate2_12H","NA","NA"
"20200317_Plate2_12G","NA","NA"
"20191209_Plate1_1A","Z2622_F1","Z2622_M1"
"20191209_Plate1_1B","Z2622_F1","Z2622_M1"
"20191209_Plate1_1C","Z2622_F1","Z2622_M1"
"20191209_Plate1_1D","Z2622_F1","Z2622_M1"
"20191209_Plate1_1E","Z2622_F1","Z2622_M1"
"20191209_Plate1_1F","Z2622_F1","Z2622_M1"
"20191209_Plate1_1G","Z2622_F3","Z2622_M3"
"20191209_Plate1_1H","Z2622_F3","Z2622_M3"
"20191209_Plate1_2A","Z2622_F3","Z2622_M3"
"20191209_Plate1_2B","Z2622_F3","Z2622_M3"
"20191209_Plate1_2C","Z2622_F3","Z2622_M3"
"20191209_Plate1_2D","Z2622_F3","Z2622_M3"
"20191209_Plate1_2E","Z2622_F3","Z2622_M3"
"20191209_Plate1_2F","Z2622_F3","Z2622_M3"
"20191209_Plate1_2G","Z2622_F5","Z2622_M5"
"20191209_Plate1_2H","Z2622_F5","Z2622_M5"
"20191209_Plate1_3A","Z2622_F5","Z2622_M5"
"20191209_Plate1_3B","Z2622_F5","Z2622_M5"
"20191209_Plate1_3C","Z2622_F5","Z2622_M5"
"20191209_Plate1_3D","Z2622_F5","Z2622_M5"
"20191209_Plate1_3E","Z2622_F5","Z2622_M5"
"20191209_Plate1_3F","Z2622_F5","Z2622_M5"
"20191209_Plate1_3G","Z2622_F7","Z2622_M7"
"20191209_Plate1_3H","Z2622_F7","Z2622_M7"
"20191209_Plate1_4A","Z2622_F7","Z2622_M7"
"20191209_Plate1_4B","Z2622_F7","Z2622_M7"
"20191209_Plate1_4C","Z2622_F7","Z2622_M7"
"20191209_Plate1_4D","Z2622_F7","Z2622_M7"
"20191209_Plate1_4E","Z2622_F7","Z2622_M7"
"20191209_Plate1_4F","Z2622_F7","Z2622_M7"
"20191209_Plate1_4G","Z2622_F9","Z2622_M9"
"20191209_Plate1_4H","Z2622_F9","Z2622_M9"
"20191209_Plate1_5A","Z2622_F9","Z2622_M9"
"20191209_Plate1_5B","Z2622_F9","Z2622_M9"
"20191209_Plate1_5C","Z2622_F9","Z2622_M9"
"20191209_Plate1_5D","Z2622_F9","Z2622_M9"
"20191209_Plate1_5E","Z2622_F9","Z2622_M9"
"20191209_Plate1_5F","Z2622_F9","Z2622_M9"
